Date,"Total Energy Consumed by the End-Use-Sectors, Monthly","Total Energy Consumed by the Residential Sector, Monthly","Total Energy Consumed by the Industrial Sector, Monthly","Total Energy Consumed by the Commercial Sector, Monthly","Total Energy Consumed by the Transportation Sector, Monthly"
2013-08-01,7946.717,1552.933,2619.451,1421.846,2352.487
2013-09-01,7434.956,1362.435,2563.104,1302.782,2206.634
2013-10-01,7501.512,1269.173,2628.648,1310.306,2293.385
2013-11-01,7900.882,1628.863,2635.694,1424.585,2211.741
2013-12-01,8829.956,2311.501,2673.44,1629.26,2215.754
2014-01-01,9324.319,2698.171,2694.669,1786.408,2145.071
2014-02-01,8212.99,2265.142,2395.215,1564.607,1988.026
2014-03-01,8239.583,1981.561,2519.4,1526.58,2212.042
2014-04-01,7262.805,1326.366,2475.639,1239.506,2221.294
2014-05-01,7362.435,1246.424,2547.799,1286.777,2281.435
2014-06-01,7490.361,1376.269,2528.276,1339.715,2246.101
2014-07-01,7970.807,1548.908,2647.983,1405.694,2368.223
2014-08-01,7985.713,1535.397,2672.452,1412.492,2365.372
2014-09-01,7443.579,1356.762,2572.336,1315.431,2199.05
2014-10-01,7540.25,1259.079,2631.172,1314.205,2335.793
2014-11-01,7945.537,1686.457,2593.332,1452.127,2213.621
2014-12-01,8550.943,2069.131,2635.5,1547.02,2299.292
2015-01-01,9043.952,2476.094,2657.266,1724.735,2185.857
2015-02-01,8365.908,2280.248,2442.799,1630.436,2012.425
2015-03-01,8171.34,1872.565,2531.36,1470.245,2297.17
2015-04-01,7200.999,1256.086,2459.453,1251.596,2233.864
2015-05-01,7392.102,1206.447,2578.948,1292.535,2314.171
2015-06-01,7662.128,1380.461,2613.965,1362.65,2305.052
2015-07-01,8183.964,1616.782,2692.936,1453.545,2420.702
2015-08-01,8081.715,1576.902,2668.933,1435.855,2400.024
2015-09-01,7474.178,1356.467,2507.914,1334.687,2275.111
2015-10-01,7393.4,1252.857,2494.449,1320.966,2325.128
2015-11-01,7421.035,1439.582,2431.016,1358.913,2191.524
2015-12-01,8092.087,1817.985,2525.755,1456.705,2291.643
2016-01-01,8776.329,2310.554,2615.191,1662.823,2187.761
2016-02-01,7943.938,1891.39,2480.963,1443.38,2128.205
2016-03-01,7671.01,1476.54,2519.131,1322.351,2352.988
2016-04-01,7145.915,1240.242,2407.557,1231.081,2267.035
2016-05-01,7283.04,1177.79,2484.205,1261.261,2359.784
2016-06-01,7657.192,1407.486,2518.597,1362.869,2368.24
2016-07-01,8183.906,1682.128,2601.184,1462.341,2438.254
2016-08-01,8288.578,1652.638,2690.36,1481.353,2464.228
2016-09-01,7511.503,1368.977,2502.767,1332.534,2307.225
2016-10-01,7394.421,1220.959,2545.988,1298.557,2328.918
2016-11-01,7461.355,1366.744,2500.704,1333.083,2260.823
2016-12-01,8779.702,2153.555,2639.698,1640.081,2346.368
2017-01-01,8670.127,2220.962,2608.714,1611.544,2228.907
2017-02-01,7325.835,1620.26,2322.596,1334.478,2048.501
2017-03-01,8066.462,1659.625,2592.021,1433.988,2380.828
2017-04-01,7089.426,1185.032,2448.763,1188.015,2267.616
2017-05-01,7416.688,1186.693,2558.864,1245.977,2425.154
2017-06-01,7604.998,1330.017,2567.108,1305.198,2402.675
2017-07-01,8113.785,1595.528,2667.035,1416.436,2434.786
2017-08-01,8027.099,1492.538,2651.725,1389.021,2493.816
2017-09-01,7352.757,1262.557,2509.995,1275.831,2304.375
2017-10-01,7520.575,1233.86,2582.986,1296.964,2406.766
2017-11-01,7817.264,1518.824,2624.136,1385.095,2289.209
2017-12-01,8896.28,2181.395,2698.95,1651.304,2364.631
2018-01-01,9338.616,2597.281,2725.674,1745.085,2270.576
2018-02-01,7752.951,1855.829,2417.237,1415.732,2064.153
2018-03-01,8361.85,1786.388,2675.908,1476.673,2422.882
2018-04-01,7524.732,1420.426,2489.63,1287.51,2327.167
2018-05-01,7615.255,1227.506,2659.549,1274.052,2454.148
2018-06-01,7776.157,1393.576,2620.845,1320.504,2441.232
2018-07-01,8305.135,1627.884,2736.058,1431.222,2509.971
2018-08-01,8383.867,1578.69,2817.683,1432.034,2555.46
2018-09-01,7591.654,1351.772,2613.474,1298.608,2327.801
2018-10-01,7807.014,1329.709,2718.988,1341.786,2416.531
2018-11-01,8228.041,1746.928,2668.978,1467.128,2345.007
2018-12-01,8726.543,2118.999,2661.419,1577.381,2368.744
2019-01-01,9238.5,2411.172,2801.843,1705.839,2319.647
2019-02-01,8103.127,2040.756,2439.409,1481.747,2141.215
2019-03-01,8367.877,1872.455,2626.309,1476.44,2392.673
2019-04-01,7307.087,1234.695,2516.965,1200.731,2354.696
2019-05-01,7571.584,1222.334,2644.656,1248.487,2456.108
2019-06-01,7569.434,1300.385,2582.13,1247.242,2439.678
2019-07-01,8225.446,1595.8,2718.911,1393.083,2517.652
2019-08-01,8256.169,1552.212,2753.911,1389.231,2560.815
2019-09-01,7565.275,1347.57,2611.843,1269.395,2336.466
2019-10-01,7636.761,1263.721,2656.394,1261.959,2454.687
2019-11-01,8106.126,1702.227,2659.143,1422.456,2322.301
2019-12-01,8650.174,2044.627,2696.73,1535.601,2373.216
2020-01-01,8653.831,2098.272,2713.355,1566.434,2275.769
2020-02-01,8025.229,1864.563,2557.285,1436.023,2167.358
2020-03-01,7541.676,1552.707,2615.803,1312.086,2061.08
2020-04-01,6166.817,1313.301,2214.402,1071.269,1567.846
2020-05-01,6433.818,1261.756,2319.929,1057.834,1794.299
2020-06-01,6880.729,1367.243,2368.616,1159.381,1985.489
2020-07-01,7702.155,1672.608,2547.29,1323.059,2159.198
2020-08-01,7675.45,1596.723,2611.756,1294.03,2172.941
2020-09-01,7003.731,1290.538,2466.342,1172.29,2074.561
2020-10-01,7156.871,1244.545,2579.348,1209.208,2123.77
2020-11-01,7239.506,1429.835,2581.414,1225.321,2002.936
2020-12-01,8376.27,2120.246,2701.141,1490.015,2064.868
2021-01-01,8580.726,2291.668,2708.654,1535.118,2045.287
2021-02-01,7825.347,2203.529,2258.22,1494.153,1869.445
2021-03-01,7707.615,1676.63,2520.674,1312.23,2198.081
2021-04-01,7129.791,1247.645,2541.165,1157.644,2183.336
2021-05-01,7313.19,1198.28,2635.552,1170.336,2309.021
2021-06-01,7665.776,1397.2,2647.29,1284.318,2336.968
2021-07-01,8063.33,1575.87,2712.433,1361.855,2413.172
2021-08-01,8156.026,1585.671,2760.127,1378.693,2431.535
2021-09-01,7373.133,1302.314,2582.021,1221.969,2266.828
2021-10-01,7421.307,1177.845,2658.772,1227.34,2357.35
2021-11-01,7778.333,1497.023,2639.58,1330.967,2310.762
2021-12-01,8353.585,1855.099,2717.93,1432.8,2347.756
2022-01-01,9051.011,2439.476,2741.127,1685.786,2184.621
2022-02-01,8008.566,2059.168,2420.137,1449.599,2079.662
2022-03-01,8045.455,1674.408,2614.969,1376.32,2379.757
2022-04-01,7231.502,1307.194,2467.756,1199.899,2256.652
2022-05-01,7421.223,1261.478,2547.608,1218.311,2393.826
2022-06-01,7633.129,1410.744,2594.31,1264.097,2363.978
2022-07-01,8085.028,1660.147,2671.613,1384.567,2368.702
2022-08-01,8093.73,1581.472,2674.53,1370.339,2467.389
2022-09-01,7370.616,1288.611,2524.923,1240.52,2316.563
2022-10-01,7381.764,1208.943,2575.553,1235.438,2361.83
2022-11-01,7802.347,1565.322,2575.913,1361.948,2299.164
2022-12-01,8637.512,2210.941,2524.618,1605.465,2296.489
2023-01-01,8427.979,2126.526,2547.504,1530.436,2223.512
2023-02-01,7574.146,1803.517,2311.728,1369.428,2089.473
2023-03-01,8102.717,1731.647,2561.443,1429.798,2379.829
2023-04-01,7170.783,1255.769,2465.071,1164.578,2285.366
2023-05-01,7353.173,1166.811,2568.771,1198.424,2419.168
2023-06-01,7478.702,1287.425,2544.021,1244.97,2402.287
2023-07-01,8089.522,1625.598,2629.522,1397.015,2437.387
